cfg_init_scale,cfg_init_scheme,cfg_learning_rate,cfg_num_cells,cfg_num_layers,n_runs,success_n_mean,success_n_std,converged_rate,steps_to_converge_mean,steps_to_converge_std,final_loss_mean,final_loss_std,final_train_acc_mean,final_train_acc_std,fp_mode_code,fp_mode_frac
1.0,small_normal,0.005,8,2,5,11.6,1.8165902124584947,1.0,480.0,182.3458252881047,0.32278335094451904,0.036447910652827674,100.0,0.0,cell0_sign-1_fgH,0.2
1.0,small_normal,0.01,4,2,5,11.6,2.073644135332772,1.0,520.0,351.0697936308392,0.3824656426906586,0.10727608543308507,100.0,0.0,cell3_sign-1_fgH,0.2
1.0,xavier_normal,0.01,2,1,5,11.2,5.718391382198319,0.8,709.8,477.8652529740994,0.3644456624984741,0.053798671601364166,98.92132415771485,2.41199250903645,cell0_sign-1_fgH,0.4
1.0,xavier_uniform,0.01,2,1,5,11.0,6.164414002968977,0.8,419.8,241.78544207623418,0.40851134061813354,0.11520765091820326,98.61829223632813,3.0895924846095255,cell1_sign-1_fgH,0.4
1.0,orthogonal_recurrent_xavier,0.01,2,1,5,10.8,6.3796551630946325,0.8,459.8,323.2339709869617,0.3424873173236847,0.03342836652222886,98.1637466430664,4.105987330015699,cell0_sign-1_fgH,0.4
1.0,small_normal,0.005,4,2,5,10.0,6.0,0.8,709.8,507.0554210340325,0.4216273307800293,0.10067463711594389,99.15725250244141,1.8844406924088535,cell3_sign-1_fgL,0.2
1.0,pytorch_default,0.1,2,2,5,9.8,9.093954035511725,0.6,199.6,215.5233166040278,0.38665060997009276,0.0446488682651037,96.71317138671876,4.923687493999321,cell0_sign1_fgL,0.4
1.0,xavier_uniform,0.1,2,1,5,9.8,12.833549781724463,0.4,239.4,457.83217449192017,0.4201189041137695,0.08045210740798911,95.55873413085938,4.6027674531456,cell0_sign-1_fgL,0.2
1.0,small_normal,0.01,2,1,5,9.4,5.594640292279746,0.8,639.8,547.3300649516707,0.4474967658519745,0.07601072717401372,98.1637466430664,4.105987330015699,cell0_sign-1_fgH,0.6
1.0,orthogonal_recurrent_xavier,0.005,2,1,5,9.4,6.024948132556828,0.8,799.8,686.7679375160142,0.4153580844402313,0.1035370636949774,95.41840362548828,10.244760938874787,cell0_sign-1_fgH,0.4
1.0,pytorch_default,0.05,2,2,5,9.0,5.830951894845301,0.8,129.8,84.05474406599546,0.4460907757282257,0.08646286221898661,98.01223297119141,4.444782199848797,cell0_sign1_fgL,0.4
1.0,xavier_uniform,0.005,2,1,5,8.8,5.585696017507576,0.8,729.8,444.2580331293966,0.42913793325424193,0.10546394319095885,95.41840362548828,10.244760938874787,cell1_sign-1_fgH,0.4
1.0,small_normal,0.1,2,2,5,8.6,9.91463564635635,0.4,179.4,249.54017712584883,0.436403888463974,0.11779329126017604,93.73114166259765,8.997275378468938,cell1_sign1_fgH,0.4
1.0,xavier_normal,0.05,2,2,5,8.2,8.899438184514795,0.6,449.6,439.26108409464183,0.41778324246406556,0.05433088868224635,96.10205993652343,6.48116359488567,cell0_sign-1_fgL,0.6
1.0,xavier_uniform,0.05,2,2,5,8.2,7.259476565152615,0.6,449.6,598.2894784299654,0.446248334646225,0.06940229748015549,96.78203887939453,4.479040061982692,cell0_sign1_fgH,0.4
1.0,xavier_normal,0.005,2,1,5,7.8,7.259476565152615,0.6,719.6,770.6946866301856,0.3869271516799927,0.06229996257509406,96.3274932861328,5.028786924435575,cell1_sign1_fgH,0.6
1.0,small_normal,0.005,2,1,5,7.2,6.610597552415364,0.6,559.6,586.1401709488952,0.4357468545436859,0.06822747452313958,96.71569366455078,4.549278925296492,cell0_sign-1_fgH,0.6
1.0,orthogonal_recurrent_xavier,0.01,2,2,5,7.0,6.96419413859206,0.6,419.6,440.07987911287194,0.52095245718956,0.1243576773928957,94.96385803222657,10.039015094675248,cell1_sign1_fgH,0.4
1.0,xavier_uniform,0.1,2,2,5,6.8,10.03493896344168,0.4,379.4,718.5543124914079,0.3870492041110992,0.07760753794512339,93.43063659667969,9.470251643998914,cell1_sign1_fgL,0.2
1.0,pytorch_default,0.01,2,2,5,6.4,6.767569726275452,0.6,499.6,600.4167719176405,0.4360705971717834,0.09784784662724978,94.50931243896484,9.933510880402595,cell1_sign1_fgM,0.4
1.0,xavier_normal,0.01,2,2,5,5.0,6.123724356957945,0.4,409.4,575.4261898801618,0.4792736828327179,0.027929931388854076,92.73074798583984,9.526060507801274,cell1_sign-1_fgL,0.4
1.0,orthogonal_recurrent_xavier,0.005,2,2,5,4.4,6.5038450166036395,0.4,529.4,751.86122389707,0.4806253731250763,0.12043277913270871,93.97900848388672,9.655664755965843,cell1_sign1_fgM,0.4
1.0,small_normal,0.01,2,2,5,4.4,5.813776741499453,0.4,629.4,863.3917419109358,0.41101330518722534,0.03999422562340026,93.39603576660156,9.531449607540472,cell0_sign-1_fgL,0.6
1.0,xavier_uniform,0.01,2,2,5,2.8,5.357238094391549,0.2,159.2,358.2180899954663,0.45537888407707217,0.02589464473573842,92.27620239257813,9.1388386081983,cell0_sign1_fgH,0.4
1.0,pytorch_default,0.005,2,2,5,2.6,5.8991524815010505,0.2,99.2,224.05401134547893,0.46637420654296874,0.06912182184722612,92.47179260253907,6.298602042912434,cell0_sign1_fgM,0.2
1.0,xavier_normal,0.1,2,2,5,2.6,5.319774431308154,0.2,219.2,492.38216864545365,0.39192159175872804,0.08012843684985092,94.87983703613281,3.180039270907891,cell1_sign-1_fgL,0.2
1.0,xavier_normal,0.005,2,2,5,2.2,5.019960159204453,0.2,339.2,760.7103259454284,0.5227336287498474,0.06488326342105662,88.15603637695312,10.465072003435322,cell1_sign-1_fgM,0.2
1.0,small_normal,0.005,2,2,5,2.2,4.969909455915671,0.2,389.2,872.5137248204179,0.4899861991405487,0.035266158744640654,91.8920669555664,8.972196913207005,cell1_sign1_fgM,0.2
1.0,xavier_uniform,0.005,2,2,5,0.0,0.7071067811865476,0.0,-1.0,0.0,0.5274612426757812,0.06456783032779936,91.4566421508789,8.503366672418716,cell1_sign1_fgM,0.6
