seed,learning_rate,num_cells,num_layers,embd_size,drop_prob,training_steps,valid_steps,n_max_train,n_test,init_scheme,init_scale,converged,steps_to_converge,final_train_mean_acc,final_loss,success_n,elapsed_sec,fp_row,fp_len,fp_counter_cell,fp_corr,fp_corr_sign,fp_fg_a,fp_ig_a,fp_og_a,fp_fg_b,fp_ig_b,fp_og_b,fp_code,config_id,cfg_init_scale,cfg_init_scheme,cfg_learning_rate,cfg_num_cells,cfg_num_layers
0,0.1,2,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,False,-1,90.81873321533203,0.40312451124191284,0,74.37686705589294,8,18,0,-0.5849280953407288,-1,0.9066798686981201,0.8787956237792969,0.6289197206497192,1.316467490575235e-09,1.8969596567330882e-05,0.9891176223754883,cell0_sign-1_fgL,42,1.0,xavier_uniform,0.1,2,1
1,0.1,2,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,False,-1,90.81873321533203,0.47286126017570496,0,70.94178509712219,8,18,0,0.45838186144828796,1,0.1859324723482132,0.010745812207460403,1.167879509011982e-05,0.8637561798095703,0.8901147842407227,0.9817861914634705,cell0_sign1_fgL,42,1.0,xavier_uniform,0.1,2,1
2,0.1,2,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,1050,100.0,0.322371244430542,17,37.67597055435181,8,18,0,-0.9358770847320557,-1,0.8233731985092163,0.9374047517776489,0.9741194248199463,0.998522162437439,0.9857353568077087,0.798334002494812,cell0_sign-1_fgH,42,1.0,xavier_uniform,0.1,2,1
3,0.1,2,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,150,100.0,0.37580934166908264,29,5.9858314990997314,8,18,1,-0.9421132206916809,-1,0.9995248317718506,0.9450250267982483,0.9928803443908691,0.998900830745697,0.99823397397995,0.9987325668334961,cell1_sign-1_fgH,42,1.0,xavier_uniform,0.1,2,1
4,0.1,2,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,False,-1,96.15620422363281,0.5264281630516052,3,71.76794981956482,8,18,0,0.8755941987037659,1,0.8828119039535522,0.45191383361816406,0.0769672617316246,0.6558207273483276,0.006310742814093828,0.9367953538894653,cell0_sign1_fgM,42,1.0,xavier_uniform,0.1,2,1
0,0.1,2,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,False,-1,77.0920181274414,0.4301450252532959,-1,117.65649056434631,8,18,1,0.5627474784851074,1,0.2518481910228729,0.6325774192810059,0.0010899826884269714,0.994189441204071,0.9997725486755371,1.0,cell1_sign1_fgL,43,1.0,xavier_uniform,0.1,2,2
1,0.1,2,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,250,100.0,0.44062623381614685,22,14.652360200881958,8,18,1,0.6637726426124573,1,0.978620707988739,0.999752938747406,0.9893480539321899,0.5004860162734985,0.012339935638010502,0.21113204956054688,cell1_sign1_fgM,43,1.0,xavier_uniform,0.1,2,2
2,0.1,2,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,1650,100.0,0.3117254972457886,12,93.44634079933167,8,18,0,-0.5209688544273376,-1,0.9923912286758423,0.03441563993692398,0.984108030796051,0.9793548583984375,0.9732863903045654,0.010801133699715137,cell0_sign-1_fgH,43,1.0,xavier_uniform,0.1,2,2
3,0.1,2,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,False,-1,95.45454406738281,0.2943306863307953,-1,113.62903833389282,8,18,1,0.9412513375282288,1,0.9999023675918579,0.9994671940803528,0.07462777197360992,0.9998705983161926,0.9981855750083923,0.7200312614440918,cell1_sign1_fgH,43,1.0,xavier_uniform,0.1,2,2
4,0.1,2,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,False,-1,94.60662078857422,0.4584185779094696,2,117.54548859596252,8,18,0,0.6163551807403564,1,0.9885168075561523,0.21438483893871307,0.33670347929000854,7.481536886189133e-05,0.008119255304336548,0.7324646711349487,cell0_sign1_fgL,43,1.0,xavier_uniform,0.1,2,2
